case_name,alt_kft,Re_L,M_inf,alpha_deg,B1,B2,B3,C1,C2,C3,C4,S1,S2,S3,CD_HF,CL_HF,CD_LF1,CD_LF2,CL_LF
case_0075,7.091,6854000,0.2545,3.417,124,137.5,379.9,1000,592.7,213.7,74.65,57.56,48.24,37.69,0.00890917,0.0766885,0.074390908,0.072405726,1.152338985
case_0077,21.61,18250000,0.4838,-4.59,124,137.5,379.9,1000,592.7,213.7,74.65,57.56,48.24,37.69,0.00806246,-0.10105,0.049231414,0.047729966,0.873636625
case_0078,2.756,8637000,0.1093,17.12,124,137.5,379.9,1000,592.7,213.7,74.65,57.56,48.24,37.69,0.0595673,0.312145,0.049224052,0.04750467,0.873623576
case_0079,36.72,10830000,0.1477,7.975,124,137.5,379.9,1000,592.7,213.7,74.65,57.56,48.24,37.69,0.0173832,0.172697,0.049213136,0.047736985,0.873458424
case_0083,33.71,17930000,0.3343,12.62,193.4,148.8,638.2,1000,727.3,195,79.58,45.23,51.58,26.75,0.0576321,0.293503,0.021622312,0.020772753,0.451612928
case_0084,21.51,14650000,0.4863,10.55,193.4,148.8,638.2,1000,727.3,195,79.58,45.23,51.58,26.75,0.0438134,0.248203,0.021622312,0.020772753,0.451612928
case_0088,36.71,9528000,0.4109,0.9792,193.4,148.8,638.2,1000,727.3,195,79.58,45.23,51.58,26.75,0.00631034,0.0493617,0.021667181,0.020979843,0.452855768
case_0089,10.8,22580000,0.142,4.07,193.4,148.8,638.2,1000,727.3,195,79.58,45.23,51.58,26.75,0.0164383,0.150689,0.021668244,0.020979627,0.45291445
case_0090,38.88,9526000,0.1851,6.595,103,181.6,322.6,1000,734.2,254.9,63.32,56.67,47.28,28.89,0.0140377,0.152102,0.115731242,0.116767183,1.454997819
case_0092,10.09,58630000,0.3379,19.68,103,181.6,322.6,1000,734.2,254.9,63.32,56.67,47.28,28.89,0.0965448,0.299517,0.115731242,0.116767183,1.454997819
case_0093,0.2713,67670000,0.4749,14.63,103,181.6,322.6,1000,734.2,254.9,63.32,56.67,47.28,28.89,0.054884,0.231825,0.115731242,0.116767183,1.454997819
case_0094,14.45,10840000,0.1767,-6.995,103,181.6,322.6,1000,734.2,254.9,63.32,56.67,47.28,28.89,0.0152884,-0.153756,0.115731242,0.116767183,1.454997819
case_0095,22.83,5239000,0.09574,-0.07351,103,181.6,322.6,1000,734.2,254.9,63.32,56.67,47.28,28.89,0.0136973,0.00112058,0.115731242,0.116767183,1.454997819
case_0096,27.52,7103000,0.2382,2.893,103,181.6,322.6,1000,734.2,254.9,63.32,56.67,47.28,28.89,0.00943654,0.0675881,0.019735017,0.019377227,0.332146116
case_0097,5.525,8725000,0.07277,-3.793,103,181.6,322.6,1000,734.2,254.9,63.32,56.67,47.28,28.89,0.0188275,-0.082338,0.115731242,0.116767183,1.454997819
case_0098,32.19,3354000,0.3066,-7.971,103,181.6,322.6,1000,734.2,254.9,63.32,56.67,47.28,28.89,0.0165347,-0.174229,0.114701655,0.116915798,1.446781526
case_0099,30.25,2985000,0.3799,12.96,103,181.6,322.6,1000,734.2,254.9,63.32,56.67,47.28,28.89,0.0361097,0.259375,0.114676068,0.115181704,1.446687803
case_0100,25.73,12610000,0.1305,-9.932,153.7,159.5,450.8,1000,593.1,278.9,74.51,41.65,53.48,35.87,0.0300568,-0.293032,0.123898846,0.122465115,1.500835262
case_0101,1.893,17500000,0.3538,9.532,153.7,159.5,450.8,1000,593.1,278.9,74.51,41.65,53.48,35.87,0.0234081,0.301615,0.123979164,0.123217335,1.50153083
case_0102,11.59,15500000,0.1943,-5.936,153.7,159.5,450.8,1000,593.1,278.9,74.51,41.65,53.48,35.87,0.0152019,-0.18031,0.123979164,0.123217335,1.50153083
case_0103,7.732,28910000,0.3019,6.729,153.7,159.5,450.8,1000,593.1,278.9,74.51,41.65,53.48,35.87,0.0143539,0.220919,0.123898846,0.122465115,1.500835262
case_0104,23.23,36030000,0.4232,-0.7577,153.7,159.5,450.8,1000,593.1,278.9,74.51,41.65,53.48,35.87,0.00449196,-0.0205829,0.124001378,0.123974606,1.501381201
case_0105,16.17,2700000,0.09036,14.11,153.7,159.5,450.8,1000,593.1,278.9,74.51,41.65,53.48,35.87,0.0604196,0.388397,0.123914408,0.123395071,1.501057639
case_0106,15.39,22830000,0.1586,11.06,153.7,159.5,450.8,1000,593.1,278.9,74.51,41.65,53.48,35.87,0.03307,0.322124,0.07900486,0.076900653,1.191890192
case_0107,31.06,27080000,0.4607,3.969,153.7,159.5,450.8,1000,593.1,278.9,74.51,41.65,53.48,35.87,0.00780069,0.138614,0.079043732,0.07615092,1.192225129
case_0115,17.77,64060000,0.4722,19.56,156.7,61.95,227.5,1000,616.8,276.2,72.67,53.71,50.39,36.73,0.075419,0.210985,0.025486043,0.024753827,0.49201374
case_0116,29.58,11110000,0.1387,1.707,156.7,61.95,227.5,1000,616.8,276.2,72.67,53.71,50.39,36.73,0.00797141,0.0262263,0.025486043,0.024753827,0.49201374
case_0117,6.842,40110000,0.3079,-4.984,156.7,61.95,227.5,1000,616.8,276.2,72.67,53.71,50.39,36.73,0.00625002,-0.0716251,0.025486043,0.024753827,0.49201374
case_0118,27.12,20890000,0.3638,13.29,156.7,61.95,227.5,1000,616.8,276.2,72.67,53.71,50.39,36.73,0.0262532,0.163875,0.025483455,0.024772121,0.491949761
case_0119,39.45,7940000,0.3858,4.253,156.7,61.95,227.5,1000,616.8,276.2,72.67,53.71,50.39,36.73,0.00739495,0.0632147,0.025483455,0.024772121,0.491949761
case_0121,17.82,15290000,0.1484,-7.764,183.6,195.5,439.3,1000,550.2,246.2,67.52,57.92,59.01,33.71,0.0239193,-0.256089,0.030924708,0.029666274,-0.55945391
case_0123,27.75,18300000,0.4658,9.845,183.6,195.5,439.3,1000,550.2,246.2,67.52,57.92,59.01,33.71,0.038083,0.279933,0.013706382,0.01342358,0.273868485
case_0124,8.528,22240000,0.2907,12.86,183.6,195.5,439.3,1000,550.2,246.2,67.52,57.92,59.01,33.71,0.0588714,0.347598,0.013706382,0.01342358,0.273868485
case_0125,1.174,32780000,0.2689,18.93,183.6,195.5,439.3,1000,550.2,246.2,67.52,57.92,59.01,33.71,0.12282,0.461141,0.013706382,0.01342358,0.273868485
case_0126,5.535,66350000,0.3986,2.343,183.6,195.5,439.3,1000,550.2,246.2,67.52,57.92,59.01,33.71,0.00620038,0.0883562,0.013705951,0.013428673,0.273847845
case_0127,39.83,6787000,0.1086,16.13,183.6,195.5,439.3,1000,550.2,246.2,67.52,57.92,59.01,33.71,0.0851468,0.463627,0.01370595,0.013428673,0.273847838
case_0128,29.61,4837000,0.08405,5.04,183.6,195.5,439.3,1000,550.2,246.2,67.52,57.92,59.01,33.71,0.0259499,0.171169,0.013705951,0.013428673,0.273847829
case_0129,21.67,4386000,0.4334,-0.4441,183.6,195.5,439.3,1000,550.2,246.2,67.52,57.92,59.01,33.71,0.00703362,-0.0124631,0.013706382,0.01342358,0.273868485
case_0131,1.037,12920000,0.3614,3.543,167.2,175.7,447.7,1000,715.7,221.2,80.82,42.99,46.56,38.64,0.00830412,0.11998,0.215134773,0.222327537,2.063193345
case_0132,28.38,17160000,0.2677,-2.494,167.2,175.7,447.7,1000,715.7,221.2,80.82,42.99,46.56,38.64,0.00768358,-0.0748384,0.066062919,0.064600653,-1.064169746
case_0133,10.51,838300,0.06215,12.57,167.2,175.7,447.7,1000,715.7,221.2,80.82,42.99,46.56,38.64,0.0618915,0.362938,0.06606337,0.064601384,-1.064169746
case_0134,18.79,9010000,0.1527,9.914,167.2,175.7,447.7,1000,715.7,221.2,80.82,42.99,46.56,38.64,0.030274,0.301416,0.066062772,0.064600796,-1.064169746
case_0135,24.31,8498000,0.295,15.93,167.2,175.7,447.7,1000,715.7,221.2,80.82,42.99,46.56,38.64,0.0774603,0.373493,0.033012938,0.031158803,-0.67832196
case_0136,12.46,20800000,0.3671,-9.736,167.2,175.7,447.7,1000,715.7,221.2,80.82,42.99,46.56,38.64,0.024388,-0.289498,0.065594202,0.064372858,-1.063778359
case_0138,32.08,15150000,0.2062,19.17,167.2,175.7,447.7,1000,715.7,221.2,80.82,42.99,46.56,38.64,0.115642,0.430042,0.033012938,0.031158803,-0.67832196
case_0139,39.72,29440000,0.4985,-6.02,167.2,175.7,447.7,1000,715.7,221.2,80.82,42.99,46.56,38.64,0.0113956,-0.200248,0.03308098,0.031911817,-0.679593729
case_0142,32.68,17750000,0.2599,-5.657,114.2,182.3,651.5,1000,627.9,194.9,82.06,52.4,57.74,37.2,0.0109892,-0.166139,0.043023377,0.041133211,-0.823508612
case_0143,14.12,56120000,0.3972,-7.668,114.2,182.3,651.5,1000,627.9,194.9,82.06,52.4,57.74,37.2,0.0139466,-0.229265,0.043009468,0.040764286,-0.823332342
case_0144,29.78,4403000,0.1537,4.642,114.2,182.3,651.5,1000,627.9,194.9,82.06,52.4,57.74,37.2,0.0154795,0.141898,0.043023279,0.040516171,-0.823490195
case_0145,16.69,7830000,0.3042,1.747,114.2,182.3,651.5,1000,627.9,194.9,82.06,52.4,57.74,37.2,0.00933057,0.0597544,0.043023377,0.041133211,-0.823508612
case_0148,37.97,13840000,0.3242,9.787,114.2,182.3,651.5,1000,627.9,194.9,82.06,52.4,57.74,37.2,0.0301796,0.257306,0.067571129,0.065472862,1.071332734
case_0150,9.645,13820000,0.182,6.497,175.7,143.3,421.1,1000,650.6,207.9,69.57,40.34,40.78,27.33,0.0159876,0.180514,0.106213587,0.106466016,1.417530111
case_0151,22.14,4977000,0.07689,-2.062,175.7,143.3,421.1,1000,650.6,207.9,69.57,40.34,40.78,27.33,0.0198667,-0.0509316,0.106213587,0.106466016,1.417530111
case_0155,29.78,14370000,0.3916,12.48,175.7,143.3,421.1,1000,650.6,207.9,69.57,40.34,40.78,27.33,0.0354953,0.311323,0.106114178,0.106529774,1.416961314
case_0156,19.33,2124000,0.1994,-6.556,175.7,143.3,421.1,1000,650.6,207.9,69.57,40.34,40.78,27.33,0.0174764,-0.167685,0.106213587,0.106466016,1.417530111
case_0159,4.972,13440000,0.2489,18.66,175.7,143.3,421.1,1000,650.6,207.9,69.57,40.34,40.78,27.33,0.0789478,0.384456,0.207534159,0.216237939,2.028534587
case_0160,29.25,3266000,0.207,19.7,104.3,73.85,680.7,1000,691.4,198.5,75.4,40.4,54.58,39.26,0.0776243,0.281011,0.22674996,0.234826655,2.081793887
case_0162,25.47,40350000,0.4349,9.704,104.3,73.85,680.7,1000,691.4,198.5,75.4,40.4,54.58,39.26,0.024348,0.185825,0.038809796,0.036499024,-0.753994332
case_0163,7.93,15910000,0.1477,-5.818,104.3,73.85,680.7,1000,691.4,198.5,75.4,40.4,54.58,39.26,0.0123624,-0.119085,0.038809796,0.036499024,-0.753994332
case_0164,3.145,51350000,0.485,11.06,104.3,73.85,680.7,1000,691.4,198.5,75.4,40.4,54.58,39.26,0.0308802,0.200057,0.227015908,0.235981758,2.082634335
case_0165,22.34,7319000,0.08684,7.842,104.3,73.85,680.7,1000,691.4,198.5,75.4,40.4,54.58,39.26,0.0227799,0.171984,0.227213019,0.23433028,2.083586858
case_0166,36.76,904500,0.232,-2.33,104.3,73.85,680.7,1000,691.4,198.5,75.4,40.4,54.58,39.26,0.010619,-0.0431786,0.227015908,0.235981758,2.082634335
case_0167,12.3,37220000,0.2941,3.819,104.3,73.85,680.7,1000,691.4,198.5,75.4,40.4,54.58,39.26,0.00664698,0.0966889,0.038809796,0.036499024,-0.753994332
case_0168,19.34,14540000,0.3823,14.75,104.3,73.85,680.7,1000,691.4,198.5,75.4,40.4,54.58,39.26,0.0502409,0.222637,0.038796959,0.036723394,-0.753814566
case_0169,32.23,28550000,0.3567,-7.016,104.3,73.85,680.7,1000,691.4,198.5,75.4,40.4,54.58,39.26,0.00910789,-0.156128,0.038796939,0.036723314,-0.753813547
case_0170,0.4012,414800,0.1703,0.6247,197.4,163.1,456.5,1000,843.5,239.4,71.48,42.58,57.65,30.13,0.0169434,0.0253877,0.024770347,0.024747753,0.082286605
case_0171,34.69,27940000,0.4342,9.508,197.4,163.1,456.5,1000,843.5,239.4,71.48,42.58,57.65,30.13,0.0270948,0.319572,0.129267162,0.12650412,1.532325674
case_0172,23.36,41430000,0.4713,-1.533,197.4,163.1,456.5,1000,843.5,239.4,71.48,42.58,57.65,30.13,0.00525629,-0.0512582,0.129153083,0.127595421,1.531372076
case_0173,8.221,34730000,0.3408,2.53,197.4,163.1,456.5,1000,843.5,239.4,71.48,42.58,57.65,30.13,0.00759581,0.0963229,0.129153083,0.127595421,1.531372076
case_0175,16.62,3672000,0.05097,6.126,197.4,163.1,456.5,1000,843.5,239.4,71.48,42.58,57.65,30.13,0.0434421,0.210782,0.065333047,0.065563657,1.071022421
case_0176,31.81,2526000,0.1197,14.52,197.4,163.1,456.5,1000,843.5,239.4,71.48,42.58,57.65,30.13,0.0731752,0.42168,0.129202989,0.127743089,1.531795415
case_0179,38.69,19260000,0.3023,12.77,197.4,163.1,456.5,1000,843.5,239.4,71.48,42.58,57.65,30.13,0.0467629,0.401454,0.103053578,0.102391884,1.383866023
case_0180,16.69,60590000,0.4582,-6.214,160.6,91.65,590.6,1000,824.9,183.3,72.19,49.33,57.18,29.7,0.00930892,-0.159996,0.031953448,0.030637349,-0.675908353
case_0182,25.94,22840000,0.2774,8.522,160.6,91.65,590.6,1000,824.9,183.3,72.19,49.33,57.18,29.7,0.0178848,0.204097,0.09227432,0.084686432,1.301309682
case_0185,6.35,24980000,0.1495,12.23,160.6,91.65,590.6,1000,824.9,183.3,72.19,49.33,57.18,29.7,0.0343646,0.272502,0.092229606,0.090470903,1.300874327
case_0187,0.4654,32110000,0.3245,-3.871,160.6,91.65,590.6,1000,824.9,183.3,72.19,49.33,57.18,29.7,0.00728834,-0.091029,0.092177036,0.064607773,1.30044709
case_0189,8.855,5045000,0.2091,6.764,160.6,91.65,590.6,1000,824.9,183.3,72.19,49.33,57.18,29.7,0.0169724,0.167672,0.04075233,0.039182616,0.735599284
case_0190,0.2,67550000,0.365,13.78,111.2,63.78,637.6,1000,666.9,254.9,74.71,47.28,54.41,27.6,0.0498282,0.217568,0.024386417,0.023477135,-0.497540052
case_0191,25.28,17660000,0.1805,-4.829,111.2,63.78,637.6,1000,666.9,254.9,74.71,47.28,54.41,27.6,0.010601,-0.113829,0.024386397,0.023477181,-0.497539095
case_0192,10.79,13120000,0.121,-3.578,111.2,63.78,637.6,1000,666.9,254.9,74.71,47.28,54.41,27.6,0.0128465,-0.0814183,0.145451831,0.146619015,1.661156103
case_0193,17,9882000,0.3418,-0.5165,111.2,63.78,637.6,1000,666.9,254.9,74.71,47.28,54.41,27.6,0.00716746,-0.00500299,0.145360639,0.147584839,1.66056765
case_0194,36.3,8796000,0.1976,19.65,111.2,63.78,637.6,1000,666.9,254.9,74.71,47.28,54.41,27.6,0.0761892,0.34183,0.145357101,0.14673189,1.660730221
case_0195,20.63,35340000,0.2792,-8.077,111.2,63.78,637.6,1000,666.9,254.9,74.71,47.28,54.41,27.6,0.0128625,-0.199535,0.145243026,0.145708622,1.659958916
case_0196,12.81,6440000,0.4476,4.011,111.2,63.78,637.6,1000,666.9,254.9,74.71,47.28,54.41,27.6,0.00910288,0.11514,0.02438804,0.023540905,-0.497601747
case_0197,33.26,2376000,0.09287,5.22,111.2,63.78,637.6,1000,666.9,254.9,74.71,47.28,54.41,27.6,0.0195599,0.135305,0.145238749,0.147125097,1.659818868
case_0198,29.79,8579000,0.268,15.45,111.2,63.78,637.6,1000,666.9,254.9,74.71,47.28,54.41,27.6,0.045361,0.311499,0.14527088,0.146932052,1.660131571
case_0200,19.63,23200000,0.1823,6.808,158.3,68.44,240.2,1000,729.6,231.1,82,56.84,46.76,28.6,0.0120524,0.104914,0.23176734,0.252153981,2.153486613
case_0201,9.19,54470000,0.3392,-3.22,158.3,68.44,240.2,1000,729.6,231.1,82,56.84,46.76,28.6,0.00492178,-0.0482827,0.231766801,0.252166001,2.153485052
case_0202,13.18,19530000,0.1881,15.38,158.3,68.44,240.2,1000,729.6,231.1,82,56.84,46.76,28.6,0.0353686,0.220497,0.120965746,0.119571348,1.495055143
case_0204,30.71,6665000,0.3964,8.906,158.3,68.44,240.2,1000,729.6,231.1,82,56.84,46.76,28.6,0.0139816,0.140249,0.231675088,0.250286816,2.152983514
case_0205,33.27,14370000,0.4944,19.02,158.3,68.44,240.2,1000,729.6,231.1,82,56.84,46.76,28.6,0.0722215,0.206043,0.120905937,0.120544292,1.494556835
case_0206,39.41,13350000,0.4425,3.921,158.3,68.44,240.2,1000,729.6,231.1,82,56.84,46.76,28.6,0.00568726,0.063199,0.120873979,0.119591674,1.494349269
case_0208,20.72,5012000,0.05368,13.94,158.3,68.44,240.2,1000,729.6,231.1,82,56.84,46.76,28.6,0.047955,0.210726,0.120905937,0.120544292,1.494556835
case_0209,7.896,2159000,0.1299,-4.836,158.3,68.44,240.2,1000,729.6,231.1,82,56.84,46.76,28.6,0.0134324,-0.070676,0.231443309,0.249427854,2.151915261
case_0210,33.56,10020000,0.245,15.01,131,170.1,328.7,1000,686.5,214,64.72,40.12,47.97,37.89,0.0470745,0.284685,0.018597012,0.018148238,0.389282188
case_0212,8.686,36370000,0.2044,6.414,131,170.1,328.7,1000,686.5,214,64.72,40.12,47.97,37.89,0.0123253,0.149398,0.018586173,0.01817735,0.389190347
case_0213,31.64,3337000,0.09589,-5.779,131,170.1,328.7,1000,686.5,214,64.72,40.12,47.97,37.89,0.0191132,-0.125196,0.018586173,0.01817735,0.388937866
case_0215,5.346,1556000,0.07259,9.709,131,170.1,328.7,1000,686.5,214,64.72,40.12,47.97,37.89,0.0334221,0.212063,0.018594667,0.018151372,0.38921002
case_0216,20.22,5867000,0.2865,13.63,131,170.1,328.7,1000,686.5,214,64.72,40.12,47.97,37.89,0.0358934,0.280713,0.018598018,0.018174034,0.389420221
case_0217,13.77,35670000,0.3275,-0.2161,131,170.1,328.7,1000,686.5,214,64.72,40.12,47.97,37.89,0.0044255,-0.00201914,0.018594677,0.018151373,0.389210109
case_0219,27.28,29050000,0.4767,3.23,131,170.1,328.7,1000,686.5,214,64.72,40.12,47.97,37.89,0.00510678,0.0832294,0.018596807,0.01818374,0.38937486
case_0224,5.839,27520000,0.33,12.2,196.9,155.1,506.2,1000,801.6,261.6,68.31,54.64,53.27,31.46,0.0455537,0.408888,0.195372048,0.195982627,1.925811112
