model_name,Low Fidelity,High Fidelity,B_Ramp_Angle,B_Diffusor_Angle,B_Trunklid_Angle,C_Side_Mirrors_Rotation,D_Rear_Window_Inclination,D_Winscreen_Inclination,C_Side_Mirrors_Translate_X,C_Side_Mirrors_Translate_Z,D_Winscreen_Length,D_Rear_Window_Length,E_A_B_C_Pillar_Thickness,G_Trunklid_Curvature,G_Trunklid_Length,H_Front_Bumper_Curvature,H_Front_Bumper_Length,F_Door_Handles_Thickness,F_Door_Handles_Z_Position,E_Fenders_Arch_Offset,A_Car_Length,F_Door_Handles_X_Position,A_Car_Width,A_Car_Roof_Height,A_Car_Green_House_Angle
E_S_WWC_WM_022,0.248380042208625,0.251105462458472,-0.0121556,-4.68785,16.284,-18.8349,1.45,-0.53,13.7383,3.64302,25.2465,-82.5548,2.45827,0.5,-6.6515,-0.1,32.3662,-17.7849,-28.4745,0.994433,5.32761,-8.09683,96.1223,-55.1658,-70.6681
E_S_WWC_WM_023,0.403892889229511,0.283635909651163,-2.25394,3.95079,-2.5473,-15.1478,-0.81,-1.45,-0.376644,8.06763,-14.0135,126.624,-7.482,-0.3,18.8171,1,36.6968,-18.8859,-7.88261,-11.2833,-22.3522,7.56822,77.0161,3.44595,24.6809
E_S_WWC_WM_024,0.391007712939273,0.273011955664452,12.275,3.03627,0.166011,-1.80484,-1.65,-0.94,7.29332,8.50611,10.6522,81.4043,4.53588,-0.4,-18.4,0.6,21.9543,0.336808,14.1323,51.9544,53.6096,-36.2265,-9.03726,53.6408,-117.961
E_S_WWC_WM_025,0.310724000882257,0.28249397520598,-4.39241,10.7379,15.7931,13.4324,-0.73,1.29,11.4561,-1.05309,7.96589,-4.42535,1.13868,-0.3,-14.9419,0.5,24.7564,-8.51155,-26.1628,51.7605,31.6866,-34.8844,148.312,64.0531,-46.0773
E_S_WWC_WM_026,0.272746082400109,0.234006028122923,-0.548153,13.3011,6.23093,1.38921,1.28,1.8,19.3819,-1.926,-29.1622,-81.4516,1.98087,0.3,-9.94397,0.6,-4.79101,-1.93688,15.9841,-22.4271,76.799,-18.7457,3.51334,63.7636,-10.4763
E_S_WWC_WM_027,0.419911500755255,0.291736273039867,-5.09464,4.50221,15.8236,-7.43203,1.43,1.05,7.91727,5.67173,21.7038,129.07,-10.0355,0.1,-7.75284,-0.4,0.147791,25.9192,-0.932244,38.3834,97.8507,-42.1468,45.4243,-14.8737,-174.869
E_S_WWC_WM_028,0.327615526909125,0.255497573438538,-5.56375,5.34724,13.4826,19.3909,-1.62,-0.17,7.06062,4.91627,-5.71133,-73.1301,-8.20529,-0.2,2.88077,0.3,41.0484,22.2204,28.6893,2.19385,54.47,35.7001,102.422,31.9074,-141.711
E_S_WWC_WM_029,0.375463561026413,0.286701056591362,12.9335,8.96239,5.49599,17.6739,0.15,2.45,3.92436,2.1444,43.0641,142.531,4.43019,0.2,12.7643,0.4,-14.3892,-6.82119,-13.0547,46.9327,13.244,-19.0137,18.919,15.1001,41.3324
E_S_WWC_WM_030,0.318316903971222,0.251080840083056,-1.57663,-2.75033,11.7988,10.1903,-1.53,1.81,-2.58923,-3.94171,-41.4857,-86.1915,-1.31163,0.3,-18.4758,0,43.6951,-0.32454,0.11858,41.5112,-31.6822,31.8473,33.2896,65.6668,-73.3159
E_S_WWC_WM_031,0.243640872973547,0.25080276958804,3.81305,-1.79022,8.72984,11.2146,1.77,-1,-4.26541,-3.63749,-29.0722,79.7044,1.89421,0.3,-21.1367,-0.1,-13.3246,-8.22371,19.9466,-22.0445,129.134,41.853,55.4154,-10.7594,-24.089
E_S_WWC_WM_032,0.332587138556537,0.2901886910299,11.1432,6.26811,7.28715,5.32752,0.58,1.68,-1.5856,-1.60328,-38.5537,85.767,-13.5788,0.2,-18.8025,0.7,-12.8077,-7.88592,13.2515,33.7888,26.3825,36.3101,-50.379,-47.325,-69.2458
E_S_WWC_WM_033,0.398411175182604,0.29068801264784,1.8435,10.6631,-2.94028,16.3777,0.41,1.33,8.10745,4.16714,4.18956,144.769,-7.92863,0.7,6.88863,-0.3,39.8712,11.6582,-19.5982,-1.13637,67.9503,43.2338,85.6384,17.8351,-191.452
E_S_WWC_WM_034,0.210168025137926,0.251967629322259,1.36342,-7.61369,11.5818,16.8202,-1.15,2.17,15.6385,2.42196,-25.7963,-28.8691,-5.94068,0.4,17.1042,0.1,-7.21598,22.4881,24.3591,-11.6597,116.992,20.3957,-18.7895,-41.9721,33.2938
E_S_WWC_WM_035,0.32659878197093,0.275340911189369,2.95889,13.4543,19.5827,-0.305176,-0.68,-0.63,-1.52171,7.36683,-24.6629,-11.2609,-4.90479,0.3,-24.0775,0,22.2016,-6.99006,-3.55027,17.6741,126.329,43.8277,39.1891,57.9219,121.918
E_S_WWC_WM_036,0.432912116490615,0.276215228093023,4.04673,-1.2177,-6.75451,-2.77402,0.35,-0.13,-7.45434,0.219354,7.84573,109.751,-4.2957,-0.4,-7.20645,0.4,7.98313,18.2027,-10.41,-2.7223,37.5586,11.6634,94.173,67.1766,143.872
E_S_WWC_WM_037,0.320666996027517,0.265496949654485,2.6654,10.373,1.41006,16.9873,0.99,-1.44,-9.34656,-3.08404,16.6036,-80.1042,0.421409,0,1.58647,0.5,33.4087,-13.8866,-16.3239,10.445,56.3836,-6.3394,116.304,88.1792,-179.803
E_S_WWC_WM_038,0.324634782412697,0.264768554787375,14.3719,3.99311,7.06808,-4.03165,0.01,1.47,-7.18599,0.754837,41.0307,-84.3797,-14.4357,0.2,-15.3478,-0.2,-0.0869685,-16.7486,-13.3455,-17.6351,89.1562,-22.4399,41.0008,63.0411,53.4
E_S_WWC_WM_039,0.296481891172586,0.248093534966777,2.72894,2.04421,-0.724237,1.3463,-1.22,-0.69,0.903987,2.71796,-26.5129,30.1667,2.94954,0.8,9.36839,0.1,42.3273,29.7907,24.2171,-3.17335,109.759,28.4732,-1.97849,68.9509,92.6275
E_S_WWC_WM_040,0.345746649378172,0.260805720604651,11.3192,-3.5626,5.08488,-18.6151,-1.77,1.5,-2.86282,3.92401,-8.10225,73.4475,-8.03779,0.5,-1.6228,0.9,28.13,-19.9608,-5.11105,36.2583,114.399,-4.92039,83.4428,39.1905,136.714
E_S_WWC_WM_041,0.353886141158881,0.280025369401993,3.94595,6.08096,14.1943,3.51466,2,-0.89,-9.96959,-0.812788,19.5231,-13.5135,-13.6464,0.2,13.0695,0.1,47.3756,-5.64847,27.2336,23.0463,106.746,22.6932,95.8385,31.1652,118.253
E_S_WWC_WM_043,0.390802878120501,0.257864996159468,0.663193,7.45066,11.4032,2.03442,-1.49,-0.11,-2.50209,4.55267,-35.3988,59.2556,4.97848,0.1,-6.01359,1,24.3726,-11.657,10.4637,-15.046,32.8735,3.96813,149.036,73.8565,5.89736
E_S_WWC_WM_044,0.37442507059312,0.282385918299003,14.9612,7.9281,11.9546,9.06811,1.79,1.03,13.9392,4.29414,-28.5944,9.11563,-10.9403,-0.4,-1.09465,-0.1,34.8682,21.0826,-2.06747,-8.5401,-59.2583,-41.8928,87.9634,72.913,111.681
E_S_WWC_WM_045,0.378156772432342,0.307436829654485,-1.54275,8.26849,18.2613,-12.4759,-1.19,-0.61,7.41279,-4.74297,-35.9328,10.2517,-12.7692,-0.3,-13.7375,-0.1,31.9796,-6.21809,-27.3962,49.9202,-28.0778,-1.04761,-23.4102,6.48645,-1.24425
E_S_WWC_WM_046,0.30854547880672,0.249881230059801,0.0703992,-1.65459,7.3471,5.6013,0.92,-1.59,-8.94106,7.38831,-38.2635,44.7179,-2.49146,0.8,3.00708,0.8,49.3001,16.154,24.2956,10.1017,-37.1721,-20.753,112.593,19.1285,76.8045
E_S_WWC_WM_047,0.294426426501902,0.244706261365448,10.586,-3.06863,6.85358,-18.4379,-1.18,-1.54,0.172799,7.72743,-9.71761,-89.8343,-5.13467,0.4,6.1631,0.1,-12.6768,21.9867,18.1287,14.9076,18.866,21.4672,98.16,-17.9835,-151.397
E_S_WWC_WM_048,0.383910733555229,0.256500513830565,13.1353,-3.17759,-3.62932,-10.8834,-1.4,0.53,-1.05702,0.906423,-8.4606,99.4931,2.9379,0,4.65805,0.9,59.0362,20.1422,23.6412,-10.129,-26.6007,1.80785,68.4703,28.1708,-110.053
E_S_WWC_WM_049,0.304197633024153,0.25943363517608,-6.47263,-2.27331,-4.8019,9.51063,0.02,1.31,-4.53625,2.92604,-11.8498,46.1676,1.74299,0,-22.2846,-0.4,9.76643,2.4151,26.1902,-4.40516,103.569,-12.8859,143.377,35.5504,81.3644
E_S_WWC_WM_050,0.337984576725157,0.263022041807309,13.1866,6.86028,-7.15801,-15.4808,-0.03,0.27,8.00245,-1.61839,-45.7607,-28.51,-12.5634,0.1,-2.53864,0.4,32.711,-1.30711,-10.7582,-24.9415,-9.08559,-27.62,142.257,25.6693,126.022
E_S_WWC_WM_051,0.259898866125856,0.237771978578073,4.01519,-5.17871,9.9764,14.6998,0.75,-1.12,-7.25578,6.66055,14.937,56.5993,-3.55548,-0.4,-14.0758,0.8,23.2965,11.1949,-26.2913,-17.0343,55.5281,28.2908,39.3032,-48.7666,-75.2615
E_S_WWC_WM_052,0.344323061491814,0.29275863323588,-7.3255,13.7218,-0.10001,12.7009,-0.36,-1.73,11.9752,-2.93264,-39.5568,-62.4354,-5.47794,0.2,1.67228,0.4,22.2709,23.3945,-9.44041,36.2512,42.9624,-32.4435,99.9447,33.379,40.6988
E_S_WWC_WM_053,0.320911374004552,0.268562870265781,-3.64647,12.2774,17.5403,-10.1617,-0.27,1.76,0.0795703,5.46766,-46.3118,-20.174,-10.4429,-0.1,7.02043,1,14.9939,0.220742,-9.06121,-0.262679,-25.0496,-45.638,90.2659,23.4909,-123.175
E_S_WWC_WM_054,0.371434279000978,0.277380770451827,7.23519,5.00815,5.29618,15.6346,2.35,-1.2,9.60067,-1.66975,45.725,130.283,-6.03981,0.5,21.5184,0.8,0.114685,-6.0692,-5.34398,4.68908,46.7184,1.38409,-16.0296,-6.36975,-183.844
E_S_WWC_WM_055,0.315225180144019,0.25086689592691,12.4013,-0.50122,12.74,-13.594,0.63,-1.79,-2.78322,-4.89761,16.9014,-46.6596,-6.16182,-0.1,18.6064,-0.2,18.3195,-8.04703,-29.8139,30.1461,94.8608,-13.2493,37.9308,13.4241,58.1358
E_S_WWC_WM_056,0.384999011672607,0.287183693956811,-6.24734,7.41232,12.3098,16.6153,1.87,2.26,-9.07096,6.85233,1.71822,37.4139,-13.1425,0,17.5322,0,12.3103,10.3053,18.2868,9.87419,-46.2112,-21.0715,86.0909,-10.1085,99.8328
E_S_WWC_WM_057,0.36909257142673,0.26449682720598,-6.59056,4.15602,19.7971,7.56929,1.23,-1.27,2.69672,1.44711,46.2466,-35.3888,-9.27697,0,-11.2729,0.3,42.0806,-13.5381,-22.835,0.364613,-8.95169,14.6786,47.1837,9.03106,31.1657
E_S_WWC_WM_058,0.291289324241377,0.275127226880399,-6.11757,6.30253,17.3038,-0.378287,0.7,-1.36,18.1307,4.59013,-10.1092,-94.2002,0.642532,0.4,13.7363,0,6.3967,-12.4803,1.98219,50.8957,59.1773,-24.3542,149.105,25.7586,62.9305
E_S_WWC_WM_059,0.184248953143903,0.296776569940199,-0.357469,14.6727,5.76662,-3.63019,-0.81,-0.01,9.15566,4.4852,-43.0258,76.493,2.64218,0.2,-5.88143,0,-15.3336,7.1754,19.3879,31.6547,44.44,-47.0876,82.6484,-41.0648,115.332
E_S_WWC_WM_061,0.294197396175075,0.295957320149502,-2.52446,6.54768,-6.79629,-8.21326,0.72,2.29,7.12814,5.32154,-5.2707,43.7109,-0.158323,0.7,-20.8346,0.9,-5.0717,7.33804,26.2357,38.2728,94.062,-14.486,41.3639,-13.7097,-131.571
E_S_WWC_WM_062,0.346416266309381,0.274605038471761,14.8888,4.22421,-6.35709,-9.32652,-1.33,0.56,16.0711,5.42122,-17.0587,58.3152,-7.85074,0.3,-2.58788,-0.3,-21.4003,13.2993,-25.3382,27.0356,43.3021,44.6226,44.9152,1.65151,-18.2927
E_S_WWC_WM_063,0.328935160143391,0.281032873139535,12.6839,13.3778,3.06457,0.627791,1.36,1.95,-0.733007,2.59004,27.5606,-73.321,-8.51475,0,-24.464,-0.4,-19.6094,15.4381,-1.78252,32.4885,20.4083,23.5325,98.627,72.8517,-23.0121
E_S_WWC_WM_064,0.422161869780644,0.279155434700997,11.485,8.1871,-0.156867,-11.5463,-0.93,1.87,14.0106,-0.66019,49.5735,97.251,-13.8515,0.7,-6.80451,0,38.2047,-11.2895,23.0647,-21.2877,44.8577,-19.1987,79.9161,42.4568,-77.8813
E_S_WWC_WM_065,0.284028620124177,0.279314078996678,-2.21213,6.16382,4.15309,-7.50774,-0.8,-0.48,-4.76959,6.99778,2.80278,-89.0215,1.07315,-0.3,-24.929,0.8,2.24076,18.1055,-18.5878,43.1085,40.7519,18.2405,50.4784,21.5445,-193.562
E_S_WWC_WM_066,0.29888101945266,0.249242870518272,4.51894,10.9343,-7.47713,-9.2503,0.19,2.22,11.2614,-0.698839,-45.3066,-49.1283,2.97433,0.7,-19.5915,0.1,35.9741,24.5449,20.2293,1.68866,-11.5411,0.604939,58.5519,21.3611,-11.5565
E_S_WWC_WM_067,0.194836800878967,0.286674325129568,3.13035,13.9033,8.97893,2.56593,0.45,-1.06,-5.37821,3.33305,5.65822,133.231,-2.16327,0.7,15.4891,0.7,-1.2304,26.9475,3.11821,22.3623,123.199,36.0278,112.34,-46.073,-84.0097
E_S_WWC_WM_068,0.334063889191074,0.253842066744186,9.87846,8.05626,2.21081,0.639528,1.62,-0.03,-1.48428,-0.877639,-49.193,-50.1428,-5.32869,0.2,14.2774,0.3,59.3543,27.3883,-3.12102,-1.9036,-45.6924,-49.9954,55.6087,19.2952,-118.633
E_S_WWC_WM_069,0.317838770243772,0.235950241398671,2.03537,-1.27814,5.07765,3.97372,-0.08,1.27,10.1716,-0.242565,38.0219,-38.8581,4.37208,0,-11.5868,0.3,50.8495,27.7962,14.584,10.2101,-57.7769,32.5931,126.936,-17.4389,147.641
E_S_WWC_WM_070,0.297845893391869,0.267694024903654,8.72771,0.386117,-4.72255,3.60531,-0.35,-0.82,7.66716,-2.91352,33.0237,-19.3397,-7.65598,0.8,22.8683,-0.2,-24.9286,26.8499,-13.5425,37.8178,96.3386,24.4549,-7.63838,2.94371,-152.187
E_S_WWC_WM_071,0.254703018958515,0.254547725049834,4.25003,-7.55522,7.46641,-4.67531,1.72,-0.06,10.0909,9.02932,-4.0351,-77.7737,-1.01156,0.6,15.1071,0.5,46.9526,14.8579,19.365,-19.0879,107.733,-3.15975,-31.7377,-44.6455,-109.202
E_S_WWC_WM_072,0.40671921893993,0.274466573767442,13.6084,-7.41645,0.0805201,-11.3502,-0.42,-1.51,11.9995,7.67686,17.8542,66.1305,-11.68,0.8,3.67481,0.4,22.7503,-15.413,9.21934,51.0981,-1.62809,4.7092,123.629,75.5029,54.7768
E_S_WWC_WM_073,0.365924461500641,0.254700827039867,2.01438,-7.32506,5.55751,-13.2253,0.3,-1.47,4.87846,-2.87182,-35.1851,28.5261,-6.08725,0.5,-23.229,-0.4,-19.9655,15.7432,1.18185,-1.78316,96.9013,15.2236,81.848,54.518,-195.349
E_S_WWC_WM_074,0.444292504058211,0.299630331621262,-3.46887,6.25249,-1.94452,8.47689,1.3,0.99,14.5273,2.53469,10.4233,113.506,-3.05542,0,5.73974,0.2,-24.3128,28.2051,6.51221,42.2534,83.2855,-11.7011,121.367,88.5682,135.814
E_S_WWC_WM_075,0.449091797318221,0.284499325053156,13.364,11.8674,14.343,15.5196,-0.78,1.33,9.54025,6.6148,31.6496,113.997,-8.91446,-0.3,-5.66098,0.9,19.0981,0.144484,29.7656,1.83801,0.4319,19.8305,-0.329092,82.4501,-13.5497
E_S_WWC_WM_076,0.323273088303939,0.280294242661129,6.98398,8.41772,-6.37973,-7.61462,0.39,0.44,16.9043,7.85563,-42.583,74.4945,-6.50598,0.6,-10.5228,-0.3,38.5593,-17.8447,-8.36349,-14.9002,120.504,-39.6603,125.481,-19.9316,-111.395
E_S_WWC_WM_077,0.340894981358896,0.259171477009967,-1.52524,-6.94967,14.4003,-12.0162,-1.09,1.52,17.1326,1.49856,29.6766,-19.5455,-8.68466,-0.1,-17.9867,0,-15.1129,4.5303,3.07641,24.2571,90.3981,-8.20921,146.432,82.0547,-156.493
E_S_WWC_WM_078,0.380882398596899,0.278363729272425,10.5341,4.73333,-6.98621,-0.651179,-0.18,2.24,15.0838,-3.42787,-32.0541,141.069,-3.91464,0.1,-24.9264,0.1,24.8546,-14.3121,-2.88566,20.7781,48.8926,-34.4377,31.5284,-10.9906,83.5642
E_S_WWC_WM_079,0.411704561419298,0.27412379748505,9.44002,2.70905,-6.56008,3.07793,0.21,2.21,-6.01023,-1.90773,-22.051,61.5226,-5.79173,0.6,-0.218052,-0.4,-3.91867,23.1629,-12.4623,4.92562,-46.7934,4.74663,-58.1035,80.0676,-48.5334
E_S_WWC_WM_080,0.321434636973326,0.265543493039867,-0.730784,-6.06324,13.098,-15.7196,1.7,-0.49,-3.71549,8.54309,44.4495,-56.6598,-7.52675,0.2,-19.1725,0,-4.85982,-10.6672,3.72991,43.8311,85.4465,24.6815,10.597,-40.1516,61.6875
E_S_WWC_WM_081,0.314031750039797,0.274134712963455,-5.58072,11.2912,0.876975,-2.68092,2.38,1.56,7.9656,7.19071,-20.7554,-52.8942,4.87345,-0.4,-6.96454,0.7,2.37074,5.81572,-22.79,16.16,115.754,15.0011,-18.2984,-1.63761,63.1587
E_S_WWC_WM_082,0.234935310252233,0.265389000956811,5.02169,3.47633,11.484,-8.35168,-1.03,-1.8,-5.9384,6.55532,27.6449,-42.4613,-12.4612,0.7,12.0938,1,-0.410378,5.62955,-12.038,13.4251,17.954,38.3217,62.6375,-58.4115,145.119
E_S_WWC_WM_083,0.30690840730873,0.24094251438206,2.56111,-4.42296,-3.91754,13.4195,-0.33,-0.69,15.7949,-2.68854,-34.5179,-37.628,-0.51302,-0.2,7.49976,0.6,-5.61959,-17.4621,19.6548,28.1542,101.609,41.238,103.623,40.5237,42.1215
E_S_WWC_WM_084,0.30189953441616,0.239236279993355,5.54365,-6.93043,3.20399,6.58543,-0.76,0.79,13.6346,5.85594,-9.24869,32.2258,-10.7593,0,20.677,0.5,58.9702,25.4316,2.33707,-0.545885,-3.76732,45.8004,132.781,-31.5236,-197.095
E_S_WWC_WM_085,0.272753525108412,0.24986677351495,8.65745,-5.90353,18.2017,-13.4166,-0.86,1.83,-7.86963,-4.5334,14.8353,-27.3067,-3.65836,0,3.96711,0.7,31.4591,-6.91544,23.1783,32.2828,3.79462,40.3401,109.008,24.2438,101.381
E_S_WWC_WM_086,0.348024539502007,0.257425143255814,-0.527802,-2.36482,13.2854,-19.9174,2.07,1.08,-7.14646,-2.63363,17.2811,-25.1838,-11.1355,0.7,-11.3876,-0.3,-2.02852,-5.04874,27.3481,-2.34256,36.1635,-13.8963,47.8546,32.5952,-53.2464
E_S_WWC_WM_087,0.290344496919397,0.244899192299003,0.609382,6.42728,-6.42705,11.1239,2.06,-0.06,16.7411,-4.79008,34.4282,-66.9677,-1.5811,0.6,13.2393,0.6,-13.785,2.79919,-14.3899,-1.44597,90.9818,-32.8365,84.7291,33.1235,104.271
E_S_WWC_WM_088,0.33893532360504,0.242714539109634,12.4639,2.20918,19.663,11.7301,1.29,0.03,1.56286,-0.678109,18.5933,75.5718,1.95288,0.2,20.786,0.2,-0.329476,-2.50247,25.304,-23.2979,4.79,-1.99856,13.2233,76.5761,6.22801
E_S_WWC_WM_089,0.275819162091266,0.236937909481728,0.485376,-5.72543,-4.35052,-3.69877,-0.09,1.67,-8.97293,6.28443,-42.2904,-6.90594,3.70839,0.4,-11.0783,0.8,59.709,-13.4056,-11.9337,-7.09992,-9.33593,46.9032,43.3257,38.8595,-50.0596
E_S_WWC_WM_090,0.422997721945108,0.260360715083057,6.81563,-7.25178,13.033,2.27114,-1.06,0.78,9.55295,6.64293,-15.7586,121.699,0.201602,-0.2,-20.6905,0,56.4072,-14.1531,-19.8568,42.9495,-52.3788,-13.0713,4.87865,66.9162,68.603
E_S_WWC_WM_091,0.364074986420402,0.307962038727575,13.9988,12.0024,7.43494,-8.76359,2.4,-0.34,-7.25845,5.826,-22.2054,-26.4604,-12.3302,0.1,13.872,0.7,-12.3638,20.8215,-0.0952003,35.2396,7.59335,4.50615,-56.6694,41.6892,125.105
E_S_WWC_WM_093,0.204320405285744,0.246648821192691,9.67147,4.20175,10.6615,-13.6233,-0.6,-1.11,5.89468,-4.69645,-16.2415,93.7819,1.64748,0.7,4.1482,-0.3,20.3743,18.612,13.4196,-16.1725,53.0947,-34.6912,95.3716,-35.6353,-97.6897
E_S_WWC_WM_094,0.329644713912182,0.262782809604651,9.72236,7.62352,14.7328,19.4537,2.43,1.33,5.01704,-1.39111,-40.27,11.0512,-6.89894,0.3,10.7775,0.9,-21.5014,11.8696,26.3288,10.9229,57.8887,-7.15741,71.9866,22.398,67.9496
E_S_WWC_WM_095,0.353774569765936,0.272711157451827,-0.0916211,9.72755,10.2295,11.5417,-1.43,0.15,-3.6691,3.27062,6.61181,-0.424535,-12.3034,0.2,22.3688,0.9,42.8141,-15.4442,-19.1516,11.6669,95.5656,-8.63785,-41.6793,78.3138,112.462
E_S_WWC_WM_096,0.367252374983816,0.256610884003322,13.2092,-7.82788,11.7464,-8.82177,0.38,0.84,5.43654,7.12278,39.5244,115.842,2.42086,0.8,16.9815,0.6,31.0421,19.2037,-1.21648,2.28813,-53.2342,26.9625,-8.55409,45.6949,-83.7977
E_S_WWC_WM_098,0.344619192365375,0.271614349953488,12.8486,10.3602,-5.00505,4.44085,0.51,0.82,1.16697,-2.39352,-34.6977,-16.8432,-13.2002,0.7,24.1467,0.3,-18.9716,-17.5313,-3.95085,-8.92706,-10.7403,-15.8874,-46.2898,9.86148,-135.821
E_S_WWC_WM_099,0.298207290101643,0.271629505415282,6.17557,13.2456,-3.85085,2.89339,-0.79,-0.39,-9.48085,-2.78134,40.1886,-71.2809,-6.76182,0.4,5.05348,0.2,28.5689,7.56756,25.4095,14.6393,-15.6898,-38.582,130.506,-25.2242,109.13
E_S_WWC_WM_100,0.406573540677088,0.241123072488372,5.67397,-4.22356,5.4515,15.0988,-0.95,-0.94,17.389,-1.15468,-35.7098,91.3046,-11.6486,0.4,5.20527,-0.3,37.5055,-1.6476,-9.7842,-15.2615,121.107,1.94394,-27.8243,0.0145039,-144.972
E_S_WWC_WM_101,0.412304453296739,0.273447087016611,9.48387,-2.04782,13.1367,7.19619,-1.62,-0.4,19.7925,-0.157038,38.9943,89.8049,-0.195517,-0.1,-3.42247,0,-23.9011,25.8368,8.31832,40.8262,-15.9314,-30.9543,-13.8043,73.5296,-40.904
E_S_WWC_WM_102,0.323345793118934,0.280057943063123,-3.26263,9.67803,15.1255,9.78241,-0.24,-0.08,8.85235,-4.61343,-12.647,-58.1932,-9.98544,0,20.533,0.7,-14.7988,-3.09164,22.9206,29.2151,27.4252,-8.55942,-48.2837,-2.52697,-171.92
